X,CH1,CH2,,
Sequence,Volt,Volt,,
594,1.92E+00,-8.80E-01,,
595,2.04E+00,-7.20E-01,,
596,1.96E+00,-8.40E-01,,
597,2.08E+00,-6.80E-01,,
598,2.00E+00,-7.60E-01,,
599,2.12E+00,-6.00E-01,,
600,2.04E+00,-7.20E-01,,
601,2.16E+00,-5.60E-01,,
602,2.08E+00,-6.40E-01,,
603,2.20E+00,-5.20E-01,,
604,2.12E+00,-6.00E-01,,
605,2.24E+00,-4.40E-01,,
606,2.12E+00,-5.20E-01,,
607,2.24E+00,-4.00E-01,,
608,2.16E+00,-4.80E-01,,
609,2.28E+00,-3.20E-01,,
610,2.20E+00,-4.00E-01,,
611,2.32E+00,-2.80E-01,,
612,2.24E+00,-3.60E-01,,
613,2.32E+00,-2.00E-01,,
614,2.24E+00,-2.80E-01,,
615,2.36E+00,-1.60E-01,,
616,2.36E+00,-2.00E-01,,
617,2.28E+00,-8.00E-02,,
618,2.28E+00,-1.20E-01,,
619,2.40E+00,-4.00E-02,,
620,2.44E+00,-8.00E-02,,
621,2.32E+00,8.00E-02,,
622,2.36E+00,0.00E+00,,
623,2.48E+00,8.00E-02,,
624,2.40E+00,8.00E-02,,
625,2.48E+00,2.00E-01,,
626,2.40E+00,1.20E-01,,
627,2.52E+00,2.40E-01,,
628,2.40E+00,1.60E-01,,
629,2.52E+00,3.20E-01,,
630,2.44E+00,2.40E-01,,
631,2.48E+00,3.60E-01,,
632,2.44E+00,2.80E-01,,
633,2.56E+00,4.40E-01,,
634,2.44E+00,3.60E-01,,
635,2.56E+00,5.20E-01,,
636,2.44E+00,4.40E-01,,
637,2.56E+00,5.60E-01,,
638,2.48E+00,4.80E-01,,
639,2.56E+00,6.00E-01,,
640,2.48E+00,5.60E-01,,
641,2.56E+00,6.80E-01,,
642,2.48E+00,6.00E-01,,
643,2.56E+00,7.20E-01,,
644,2.48E+00,6.80E-01,,
645,2.52E+00,8.00E-01,,
646,2.48E+00,7.20E-01,,
647,2.52E+00,8.40E-01,,
648,2.48E+00,7.60E-01,,
649,2.56E+00,9.20E-01,,
650,2.48E+00,8.40E-01,,
651,2.56E+00,9.60E-01,,
652,2.48E+00,8.80E-01,,
653,2.56E+00,1.04E+00,,
654,2.48E+00,9.60E-01,,
655,2.56E+00,1.08E+00,,
656,2.56E+00,1.00E+00,,
657,2.44E+00,1.12E+00,,
658,2.44E+00,1.08E+00,,
659,2.56E+00,1.20E+00,,
660,2.44E+00,1.16E+00,,
661,2.48E+00,1.28E+00,,
662,2.48E+00,1.20E+00,,
663,2.40E+00,1.32E+00,,
664,2.52E+00,1.24E+00,,
665,2.40E+00,1.36E+00,,
666,2.40E+00,1.32E+00,,
667,2.48E+00,1.44E+00,,
668,2.48E+00,1.36E+00,,
669,2.36E+00,1.48E+00,,
670,2.36E+00,1.40E+00,,
671,2.48E+00,1.56E+00,,
672,2.40E+00,1.48E+00,,
673,2.32E+00,1.60E+00,,
674,2.40E+00,1.52E+00,,
675,2.28E+00,1.64E+00,,
676,2.36E+00,1.56E+00,,
677,2.24E+00,1.68E+00,,
678,2.24E+00,1.60E+00,,
679,2.36E+00,1.72E+00,,
680,2.32E+00,1.64E+00,,
681,2.20E+00,1.76E+00,,
682,2.20E+00,1.68E+00,,
683,2.28E+00,1.80E+00,,
684,2.28E+00,1.72E+00,,
685,2.16E+00,1.88E+00,,
686,2.24E+00,1.76E+00,,
687,2.12E+00,1.88E+00,,
688,2.20E+00,1.80E+00,,
689,2.08E+00,1.96E+00,,
690,2.16E+00,1.84E+00,,
691,2.08E+00,1.96E+00,,
692,2.16E+00,1.88E+00,,
693,2.04E+00,2.00E+00,,
694,2.12E+00,1.92E+00,,
695,2.00E+00,2.04E+00,,
696,2.08E+00,1.96E+00,,
697,1.96E+00,2.08E+00,,
698,2.04E+00,2.00E+00,,
699,1.92E+00,2.12E+00,,
700,2.00E+00,2.04E+00,,
701,1.88E+00,2.16E+00,,
702,1.96E+00,2.08E+00,,
703,1.84E+00,2.20E+00,,
704,1.92E+00,2.12E+00,,
705,1.80E+00,2.24E+00,,
706,1.88E+00,2.12E+00,,
707,1.76E+00,2.24E+00,,
708,1.84E+00,2.16E+00,,
709,1.72E+00,2.28E+00,,
710,1.80E+00,2.20E+00,,
711,1.68E+00,2.32E+00,,
712,1.76E+00,2.24E+00,,
713,1.64E+00,2.32E+00,,
714,1.72E+00,2.24E+00,,
715,1.56E+00,2.36E+00,,
716,1.64E+00,2.36E+00,,
717,1.52E+00,2.28E+00,,
718,1.60E+00,2.28E+00,,
719,1.48E+00,2.40E+00,,
720,1.56E+00,2.44E+00,,
721,1.44E+00,2.32E+00,,
722,1.52E+00,2.36E+00,,
723,1.40E+00,2.48E+00,,
724,1.48E+00,2.40E+00,,
725,1.32E+00,2.48E+00,,
726,1.40E+00,2.40E+00,,
727,1.28E+00,2.52E+00,,
728,1.36E+00,2.40E+00,,
729,1.24E+00,2.52E+00,,
730,1.32E+00,2.44E+00,,
731,1.16E+00,2.48E+00,,
732,1.24E+00,2.44E+00,,
